Script started on Thu Oct 26 16:44:02 2017
]7;file://Kevin.local/Users/gwachey/entwicklung/modandsim/monte_carlo_random_walk[1m[3m%[23m[1m[0m                                                                                            k..o_random_walk\]7;file://Kevin.local/Users/gwachey/entwicklung/modandsim/monte_carlo_random_walk[0m[23m[24m[J[01;32m➜  [36mmonte_carlo_random_walk[00m [01;34mgit:([31mmaster[34m) [33m✗[00m [K[?1h=[?2004hppython random_walk.py[?1l>[?2004l
kpython\('Total walk Length: ', 1, 'No lyft required %', 100.0, 'left needed for ', 0, 'cost per block ', 0.0)
('Total walk Length: ', 2, 'No lyft required %', 100.0, 'left needed for ', 0, 'cost per block ', 0.0)
('Total walk Length: ', 3, 'No lyft required %', 100.0, 'left needed for ', 0, 'cost per block ', 0.0)
('Total walk Length: ', 4, 'No lyft required %', 100.0, 'left needed for ', 0, 'cost per block ', 0.0)
('Total walk Length: ', 5, 'No lyft required %', 100.0, 'left needed for ', 0, 'cost per block ', 0.0)
('Total walk Length: ', 6, 'No lyft required %', 93.72, 'left needed for ', 628, 'cost per block ', 1046.6666666666667)
('Total walk Length: ', 7, 'No lyft required %', 96.76, 'left needed for ', 324, 'cost per block ', 462.85714285714283)
('Total walk Length: ', 8, 'No lyft required %', 86.0, 'left needed for ', 1400, 'cost per block ', 1750.0)
('Total walk Length: ', 9, 'No lyft required %', 92.36, 'left needed for ', 764, 'cost per block ', 848.8888888888889)
('Total walk Length: ', 10, 'No lyft required %', 79.09, 'left needed for ', 2091, 'cost per block ', 2091.0)
('Total walk Length: ', 11, 'No lyft required %', 87.08, 'left needed for ', 1292, 'cost per block ', 1174.5454545454545)
('Total walk Length: ', 12, 'No lyft required %', 72.92, 'left needed for ', 2708, 'cost per block ', 2256.6666666666665)
('Total walk Length: ', 13, 'No lyft required %', 82.42, 'left needed for ', 1758, 'cost per block ', 1352.3076923076924)
('Total walk Length: ', 14, 'No lyft required %', 67.71, 'left needed for ', 3229, 'cost per block ', 2306.4285714285716)
('Total walk Length: ', 15, 'No lyft required %', 78.2, 'left needed for ', 2180, 'cost per block ', 1453.3333333333333)
('Total walk Length: ', 16, 'No lyft required %', 61.96, 'left needed for ', 3804, 'cost per block ', 2377.5)
('Total walk Length: ', 17, 'No lyft required %', 73.35, 'left needed for ', 2665, 'cost per block ', 1567.6470588235295)
('Total walk Length: ', 18, 'No lyft required %', 58.33, 'left needed for ', 4167, 'cost per block ', 2315.0)
('Total walk Length: ', 19, 'No lyft required %', 68.77, 'left needed for ', 3123, 'cost per block ', 1643.6842105263158)
('Total walk Length: ', 20, 'No lyft required %', 53.59, 'left needed for ', 4641, 'cost per block ', 2320.5)
('Total walk Length: ', 21, 'No lyft required %', 65.76, 'left needed for ', 3424, 'cost per block ', 1630.4761904761904)
('Total walk Length: ', 22, 'No lyft required %', 50.73, 'left needed for ', 4927, 'cost per block ', 2239.5454545454545)
('Total walk Length: ', 23, 'No lyft required %', 62.23, 'left needed for ', 3777, 'cost per block ', 1642.1739130434783)
('Total walk Length: ', 24, 'No lyft required %', 48.25, 'left needed for ', 5175, 'cost per block ', 2156.25)
('Total walk Length: ', 25, 'No lyft required %', 60.33, 'left needed for ', 3967, 'cost per block ', 1586.8)
('Total walk Length: ', 26, 'No lyft required %', 45.41, 'left needed for ', 5459, 'cost per block ', 2099.6153846153848)
('Total walk Length: ', 27, 'No lyft required %', 56.07, 'left needed for ', 4393, 'cost per block ', 1627.037037037037)
('Total walk Length: ', 28, 'No lyft required %', 43.22, 'left needed for ', 5678, 'cost per block ', 2027.857142857143)
('Total walk Length: ', 29, 'No lyft required %', 53.88, 'left needed for ', 4612, 'cost per block ', 1590.344827586207)
('Total walk Length: ', 30, 'No lyft required %', 41.01, 'left needed for ', 5899, 'cost per block ', 1966.3333333333333)
('Total walk Length: ', 31, 'No lyft required %', 50.98, 'left needed for ', 4902, 'cost per block ', 1581.2903225806451)
('Total walk Length: ', 32, 'No lyft required %', 38.38, 'left needed for ', 6162, 'cost per block ', 1925.625)
('Total walk Length: ', 33, 'No lyft required %', 49.0, 'left needed for ', 5100, 'cost per block ', 1545.4545454545455)
('Total walk Length: ', 34, 'No lyft required %', 37.13, 'left needed for ', 6287, 'cost per block ', 1849.1176470588234)
('Total walk Length: ', 35, 'No lyft required %', 47.23, 'left needed for ', 5277, 'cost per block ', 1507.7142857142858)
('Total walk Length: ', 36, 'No lyft required %', 36.07, 'left needed for ', 6393, 'cost per block ', 1775.8333333333333)
('Total walk Length: ', 37, 'No lyft required %', 44.99, 'left needed for ', 5501, 'cost per block ', 1486.7567567567567)
('Total walk Length: ', 38, 'No lyft required %', 34.36, 'left needed for ', 6564, 'cost per block ', 1727.3684210526317)
('Total walk Length: ', 39, 'No lyft required %', 44.32, 'left needed for ', 5568, 'cost per block ', 1427.6923076923076)
('Total walk Length: ', 40, 'No lyft required %', 32.41, 'left needed for ', 6759, 'cost per block ', 1689.75)
('Total walk Length: ', 41, 'No lyft required %', 41.98, 'left needed for ', 5802, 'cost per block ', 1415.121951219512)
('Total walk Length: ', 42, 'No lyft required %', 31.86, 'left needed for ', 6814, 'cost per block ', 1622.3809523809523)
('Total walk Length: ', 43, 'No lyft required %', 41.52, 'left needed for ', 5848, 'cost per block ', 1360.0)
('Total walk Length: ', 44, 'No lyft required %', 29.46, 'left needed for ', 7054, 'cost per block ', 1603.1818181818182)
('Total walk Length: ', 45, 'No lyft required %', 39.09, 'left needed for ', 6091, 'cost per block ', 1353.5555555555557)
('Total walk Length: ', 46, 'No lyft required %', 28.81, 'left needed for ', 7119, 'cost per block ', 1547.608695652174)
('Total walk Length: ', 47, 'No lyft required %', 39.0, 'left needed for ', 6100, 'cost per block ', 1297.872340425532)
('Total walk Length: ', 48, 'No lyft required %', 27.53, 'left needed for ', 7247, 'cost per block ', 1509.7916666666667)
('Total walk Length: ', 49, 'No lyft required %', 36.23, 'left needed for ', 6377, 'cost per block ', 1301.4285714285713)
('Total walk Length: ', 50, 'No lyft required %', 27.02, 'left needed for ', 7298, 'cost per block ', 1459.6)
('Total walk Length: ', 51, 'No lyft required %', 35.8, 'left needed for ', 6420, 'cost per block ', 1258.8235294117646)
('Total walk Length: ', 52, 'No lyft required %', 25.97, 'left needed for ', 7403, 'cost per block ', 1423.6538461538462)
('Total walk Length: ', 53, 'No lyft required %', 34.99, 'left needed for ', 6501, 'cost per block ', 1226.6037735849056)
('Total walk Length: ', 54, 'No lyft required %', 25.38, 'left needed for ', 7462, 'cost per block ', 1381.851851851852)
('Total walk Length: ', 55, 'No lyft required %', 33.45, 'left needed for ', 6655, 'cost per block ', 1210.0)
('Total walk Length: ', 56, 'No lyft required %', 24.52, 'left needed for ', 7548, 'cost per block ', 1347.857142857143)
('Total walk Length: ', 57, 'No lyft required %', 32.31, 'left needed for ', 6769, 'cost per block ', 1187.5438596491229)
('Total walk Length: ', 58, 'No lyft required %', 23.96, 'left needed for ', 7604, 'cost per block ', 1311.0344827586207)
('Total walk Length: ', 59, 'No lyft required %', 32.02, 'left needed for ', 6798, 'cost per block ', 1152.2033898305085)
('Total walk Length: ', 60, 'No lyft required %', 23.57, 'left needed for ', 7643, 'cost per block ', 1273.8333333333333)
('Total walk Length: ', 61, 'No lyft required %', 30.53, 'left needed for ', 6947, 'cost per block ', 1138.8524590163934)
('Total walk Length: ', 62, 'No lyft required %', 22.18, 'left needed for ', 7782, 'cost per block ', 1255.1612903225807)
('Total walk Length: ', 63, 'No lyft required %', 29.67, 'left needed for ', 7033, 'cost per block ', 1116.3492063492063)
('Total walk Length: ', 64, 'No lyft required %', 22.21, 'left needed for ', 7779, 'cost per block ', 1215.46875)
('Total walk Length: ', 65, 'No lyft required %', 29.53, 'left needed for ', 7047, 'cost per block ', 1084.1538461538462)
('Total walk Length: ', 66, 'No lyft required %', 20.92, 'left needed for ', 7908, 'cost per block ', 1198.1818181818182)
('Total walk Length: ', 67, 'No lyft required %', 29.24, 'left needed for ', 7076, 'cost per block ', 1056.1194029850747)
